問題,解答,イラストファイル名,イラスト内容説明
図を見て、片方を長い糸でつり下げた場合、つりあいますか？,つり合う,てこ実験機_おもりのつり下げ方.png,てこ実験機におもりを長い糸でつり下げる様子
図を見て、おもり2個を縦につなげると、つりあいますか？,つり合う,てこ実験機_おもりのつけ方.png,てこ実験機におもり2個を縦につなげてつり下げる様子
おもり2個を同じ位置につり下げた場合、つり合わせるには反対側のおもり1個をどこにつり下げればよいですか？,3に二個,てこ実験機_2個のおもり.png,片側におもり2個をつり下げたときのてこ実験機
おもり3個を同じ位置につり下げた場合、つり合わせるには反対側のおもり1個をどこにつり下げればよいですか？,2に3個,てこ実験機_2個のおもり.png,片側におもり3個をつり下げたときのてこ実験機
おもり二個を違う場所（2種類）,"2,4と1,5",てこ実験機_2個のおもり.png,片側におもり6個をつり下げたときのてこ実験機
おもり4個を一個ずつ,"1,2,3,4",4個一個ずつ.png,
おもりの数×おもりの位置で表される、回転させる力は何と呼ばれていますか？,かかる重さ×支点からの長さ,,モーメントの計算式
モーメントのつりあいの条件は何ですか？,左まわりののモーメントの合計と右まわりののモーメントの合計が等しいことです。,,モーメントのつりあいの式
ばねばかりを5の目盛りにつり下げたとき、つり合うために必要な重さは何gですか？,60÷5で12gです。,てこ実験機_ばねばかり実験.png,てこ実験機にばねばかりと10gのおもりをつり下げた図
ばねばかりを4の目盛りにつり下げたとき、つり合うために必要な重さは何gですか？,60÷4で15gです。,てこ実験機_ばねばかり実験.png,てこ実験機にばねばかりと10gのおもりをつり下げた図
ばねばかりを3の目盛りにつり下げたとき、つり合うために必要な重さは何gですか？,60÷3で20gです。,てこ実験機_ばねばかり実験.png,てこ実験機にばねばかりと10gのおもりをつり下げた図
ばねばかりを1の目盛りにつり下げたとき、つり合うために必要な重さは何gですか？,60÷1で60gです。,てこ実験機_ばねばかり実験.png,てこ実験機にばねばかりと10gのおもりをつり下げた図
