問題,解答,イラストファイル名,イラスト内容説明
北海道で最も長い川は何ですか？（北海道の地形図で①の川）,石狩川,北海道の地形図.png,
泥炭地の土地改良により稲作地帯となった平野は何ですか？（北海道の地形図で②の平野）,石狩平野,北海道の地形図.png,
北海道にある、高くてけわしい山脈は何ですか？（北海道の地形図で③の山脈）,日高山脈,北海道の地形図.png,
ほたて貝の養殖がさかんな湖は何ですか？（北海道の地形図で④の湖）,サロマ湖,北海道の地形図.png,
日本の最北端にあたる島は何ですか？（北海道の地形図で⑤の島）,択捉島,北海道の地形図.png,
広い牧草地で乳牛の飼育がさかんな台地は何ですか？（北海道の地形図で⑥の台地）,根釧台地,北海道の地形図.png,
国際条約により保護される湿原は何ですか？（北海道の地形図で⑦の湿原）,釧路湿原,北海道の地形図.png,
オホーツク海沿岸は、冬から春先にかけて何がおしよせてくるため、観光に訪れる人が多いですか？,流氷,,
北海道は、昔は蝦夷地とよばれましたが、先住民族である誰が生活し、独自の文化を築いていましたか？,アイヌの人々,,
北海道の政治・経済・情報の中心地で、人口が約195万人の大都市に成長した都市はどこですか？,札幌市,,
北海道の玄関口となっている、東京の羽田空港との間の利用客数が日本一多い空港は何ですか？,新千歳空港,,
石狩平野の篠津原野では、排水と客土で何を開発し、今では水田地帯となっていますか？,泥炭地,,
北洋漁業をはじめとする遠洋漁業の漁獲量が減った原因となった、各国の排他的経済水域は何海里ですか？,200海里,,
グラフが示す、都道府県別飼育数の割合を表している動物は何ですか？,乳牛,乳牛の都道府県別飼育数グラフ.png,
日本で初めての掘り込み港がつくられ、パルプ・製紙工業などが盛んな都市はどこですか？,苫小牧市,,
北海道で、世界自然遺産に登録されている地域は何ですか？,知床,,
地図中のAの山脈名を答えなさい。,日高山脈,北海道の地図（標準問題）.png,
地図中のBの川名を答えなさい。,石狩川,北海道の地図（標準問題）.png,
地図中のCの平野名を答えなさい。,石狩平野,北海道の地図（標準問題）.png,
地図中のDの盆地名を答えなさい。,上川盆地,北海道の地図（標準問題）.png,
北海道と本州を結ぶトンネルの名を答えなさい。,青函トンネル,北海道の地図（標準問題）.png,
北海道最大の都市で、政治・経済・情報の中心地である都市は何ですか？（標準問題の地図で「う」の都市）,札幌市,北海道の地図（標準問題）.png,
北洋漁業の基地として栄え、近くにラムサール条約に登録された湿原が広がっている都市は何ですか？（標準問題の地図で「か」の都市）,釧路市,北海道の地図（標準問題）.png,
江戸時代の末に開かれた港があり、北海道の玄関口として栄え、多くの観光客が訪れている都市は何ですか？（標準問題の地図で「え」の都市）,函館市,北海道の地図（標準問題）.png,
1970年代から北洋漁業が急激に減り続けている理由は何ですか？,各国で200海里の排他的経済水域が設定されたから,,
ラムサール条約に登録された湿原のうち、北海道内の登録地は何ですか？,釧路湿原,,
地図中のFにあてはまる、世界自然遺産に登録された地域は何ですか？,知床,北海道の地図（標準問題）.png,
地図中のGの部分の島々をあわせて何とよびますか？,北方領土,北海道の地図（標準問題）.png,
現在、北方領土を不法に占拠している国はどこですか？,ロシア連邦,,
地図中の■は、ある農作物のおもな産地です。この農作物はなんですか？,米,稲作の北進線と稲作地域.png,
地図中のAの地域で行われた土地改良の方法「泥炭地を良質の土に入れかえる」を何といいますか？,客土,稲作の北進線と稲作地域.png,
地図中のAの地域で、客土にあわせて土地の改良のために設置した施設は何ですか？,排水施設,稲作の北進線と稲作地域.png,
地図中のBの台地の名を答えなさい。,根釧台地,稲作の北進線と稲作地域.png,
地図中のBの台地で、夏の日照量が少ない原因は何ですか？,濃霧,稲作の北進線と稲作地域.png,
地図中のBの台地でさかんに行われている農業は何ですか？,酪農(畜産),稲作の北進線と稲作地域.png,
地図中のCの平野の名を答えなさい。,十勝平野,稲作の北進線と稲作地域.png,
地図中のCの平野がおもな産地となっている、全国に占める北海道の生産量の割合が100%である農作物はなんですか？（北海道の農作物の割合を示す円グラフ）,てんさい,稲作の北進線と稲作地域.png,
地図中のCの平野がおもな産地となっている農作物のうち、全国に占める北海道の生産量の割合が78%である農作物はなんですか？（北海道の農作物の割合を示す円グラフ）,じゃがいも,稲作の北進線と稲作地域.png,
てんさいは工芸作物です。これは何の原料になりますか？,砂糖,,
日本で最初のほりこみ港がつくられて発展し、パルプ・製紙工業などがさかんに行われている都市はどこですか？,苫小牧市,,
古くから鉄鋼業のまちとして発展してきた都市はどこですか？,室蘭市,,
北海道の工業生産額の割合を表すグラフで、Xにあてはまる工業は何ですか？,食料品工業,北海道の工業生産額の割合グラフ.png,
これなんでしょう？,天塩,天塩.png,
これなんでしょう？,北見,北見.png,
これなんでしょう？,国後,国後.png,
これなんでしょう？,択捉,択捉.png,
これなんでしょう？,色丹,色丹.png,
これなんでしょう？,歯舞,歯舞.png,
これなんでしょう？,知床,知床.png,
これなんでしょう？,サロマ,サロマ.png,
これなんでしょう？,上川,上川.png,
これなんでしょう？,夕張,夕張.png,
これなんでしょう？,根室,根室.png,
これなんでしょう？,根釧,根釧.png,
これなんでしょう？,釧路,釧路.png,
これなんでしょう？,十勝,十勝.png,
これなんでしょう？,十勝平野,十勝平野.png,
これなんでしょう？,日高山脈,日高山脈.png,
これなんでしょう？,石狩平野,石狩平野.png,
これなんでしょう？,内浦湾,内浦湾.png,
これなんでしょう？,渡島半島,渡島半島.png,
これなんでしょう？,石狩川,石狩川.png,
