問題,解答,イラストファイル名,イラスト内容説明
太陽は、どちらの方角の空の地平線から出て、どの方角の空を通って、どの方角の地平線にしずんでいきますか？,東→南→西,,
太陽の上のはしが見え始めたしゅん間を何といいますか？また、全部がかくれたしゅん間を何といいますか？,日の出、日の入り,,
太陽が真南にきたときを何といいますか？また、その時刻を何といいますか？,太陽の南中、南中時刻,,
太陽が東から西へ動いて見えるため、南中時刻は東の地方ほど（A）く、西の地方ほど（B）くなります。(A)と(B)に当てはまる言葉を答えなさい。,A:早く、 B:おそ,,
1年のうち、6月の日の出が最も早く、日の入りが最もおそいので、昼が一番長くなります。このことを何といいますか？,夏至,,
12月の日の出が最もおそく、日の入りが最も早いので、昼が一番短くなります。このことを何といいますか？,冬至,,
3月のころと9月のころは、昼と夜の長さがほとんど同じです。この日をそれぞれ何といいますか？,春分、秋分,,
太陽が東の低い空にあるとき、棒の影は（A）に長く、太陽が南へ高くなっていくと、影は（B）の方へ動きながら、しだいに短くなっていく。南中したとき、最も短い影が、真（C）にできる。太陽が西に傾いていくと、影は（D）の方へ動きながら、長くなっていく。（A）〜（D）に当てはまる方位を答えなさい。,A:西、 B:北、 C:北、 D:東,影の動き_P1.png,地面に垂直に立てた棒の影の動きを示す図
南中高度は、夏は高く、冬は低くなります。このため、南中したときの影の長さは、夏は（A）く、冬は（B）くなります。(A)と(B)に当てはまる言葉を答えなさい。,A:短、 B:長,南中高度と影の長さ_P1.png,季節ごとの太陽の南中高度と棒の影の動きを示す図
地球は1日に1回転しながら（A）、1年で太陽のまわりを（B）しています。(A)と(B)に当てはまる言葉を答えなさい。,A:自転、 B:公転,,
地球が西から東へ自転しているため、太陽はどのように動いて見えますか？,東から西へ動いて見える,,
太陽の動きについて、正しく説明しているものはどれですか。 (選択肢: ア 太陽は、東から出て南の空を通って西にしずむ。 イ 太陽は、西から出て南の空を通って西にしずむ。 ウ 太陽は、東から出て北の空を通って西にしずむ。 エ 太陽は、西から出て北の空を通って東にしずむ。),ア,,
日の出と日の入りのようすを表しているものは、それぞれどれですか。 (選択肢: ア. 地平線- 日の出 ウ. 日の入り),アが日の出、ウが日の入り,日の出と日の入りの図_P2.png,太陽が地平線に出入りする様子を示す図
太陽が真南にきたときを何といいますか。,南中,,
「太陽が真南にくる時刻は、 A の地方ほど早く、 B の地方ほどおそくなります。」A、 Bにあてはまるのは、西東のどちらですか。,A:東、 B:西,,
1年のうちで、昼の長さが最も長い日があるのは何月ですか。,6月,,
1年のうちで、昼の長さが最も短い日があるのは何月ですか。,12月,,
1年のうちで、昼と夜の長さがほぼ同じになる日は、何回ありますか。,2回,,
昼と夜の長さがほぼ同じになる日を何といいますか。すべて答えなさい。,春分、秋分,,
太陽の位置は、何と何で表しますか。,方位と高度,,
