問題,解答,イラストファイル名,イラスト内容説明
この星は何という星ですか？,アルクトゥルス,arcturus.png,うしかい座のアルクトゥルス
この星は何色ですか？,オレンジ色,arcturus.png,うしかい座のアルクトゥルス
この星がある星座は何という星座ですか？,うしかい座,arcturus.png,うしかい座のアルクトゥルス
,,,
---,,,
,,,
この星は何という星ですか？,スピカ,spica.png,おとめ座のスピカ
この星は何色ですか？,青白色,spica.png,おとめ座のスピカ
この星がある星座は何という星座ですか？,おとめ座,spica.png,おとめ座のスピカ
,,,
---,,,
,,,
この星は何という星ですか？,デネボラ,denebola.png,しし座のデネボラ
この星は何色ですか？,白色,denebola.png,しし座のデネボラ
この星がある星座は何という星座ですか？,しし座,denebola.png,しし座のデネボラ
,,,
---,,,
,,,
この星は何という星ですか？,ベガ,vega.png,こと座のベガ
この星は何色ですか？,白色,vega.png,こと座のベガ
この星がある星座は何という星座ですか？,こと座,vega.png,こと座のベガ
,,,
---,,,
,,,
この星は何という星ですか？,アルタイル,altair.png,わし座のアルタイル
この星は何色ですか？,白色,altair.png,わし座のアルタイル
この星がある星座は何という星座ですか？,わし座,altair.png,わし座のアルタイル
,,,
---,,,
,,,
この星は何という星ですか？,デネブ,deneb.png,はくちょう座のデネブ
この星は何色ですか？,白色,deneb.png,はくちょう座のデネブ
この星がある星座は何という星座ですか？,はくちょう座,deneb.png,はくちょう座のデネブ
,,,
---,,,
,,,
この星は何という星ですか？,ベテルギウス,betelgeuse.png,オリオン座のベテルギウス
この星は何色ですか？,赤色,betelgeuse.png,オリオン座のベテルギウス
この星がある星座は何という星座ですか？,オリオン座,betelgeuse.png,オリオン座のベテルギウス
,,,
---,,,
,,,
この星は何という星ですか？,シリウス,sirius.png,おおいぬ座のシリウス
この星は何色ですか？,白色,sirius.png,おおいぬ座のシリウス
この星がある星座は何という星座ですか？,おおいぬ座,sirius.png,おおいぬ座のシリウス
,,,
---,,,
,,,
この星は何という星ですか？,プロキオン,procyon.png,こいぬ座のプロキオン
この星は何色ですか？,黄色,procyon.png,こいぬ座のプロキオン
この星がある星座は何という星座ですか？,こいぬ座,procyon.png,こいぬ座のプロキオン
,,,
---,,,
,,,
この星は何という星ですか？,リゲル,rigel.png,オリオン座のリゲル
この星は何色ですか？,青白色,rigel.png,オリオン座のリゲル
この星がある星座は何という星座ですか？,オリオン座,rigel.png,オリオン座のリゲル
,,,
---,,,
,,,
この星は何という星ですか？,アンタレス,antares.png,さそり座のアンタレス
この星は何色ですか？,赤色,antares.png,さそり座のアンタレス
この星がある星座は何という星座ですか？,さそり座,antares.png,さそり座のアンタレス
,,,
---,,,
,,,
この星座は何という星座ですか？,おおぐま座 (北斗七星),oguma.png,おおぐま座全体または北斗七星
この星座はいつの季節に見えますか？,一年中 (北の空),oguma.png,おおぐま座全体または北斗七星
この星座は北極星を見つけるのにどのように役立ちますか？,北斗七星のひしゃくの先の2つの星を結んだ線を5倍ほど伸ばした先に北極星がある,oguma.png,おおぐま座全体または北斗七星
,,,
---,,,
この星座は何という星座ですか？,カシオペヤ座,cassiopeia.png,カシオペヤ座
この星座はいつの季節に見えますか？,一年中 (北の空),cassiopeia.png,カシオペヤ座
この星座は北極星を見つけるのにどのように役立ちますか？,おおぐま座の反対側にあり、北極星を挟んでW字型に見える,cassiopeia.png,カシオペヤ座
,,,
---,,,
,,,
この星座は何という星座ですか？,オリオン座,orion.png,オリオン座全体
この星座はいつの季節に見えますか？,冬,orion.png,オリオン座全体
,,,
---,,,
,,,
この星座は何という星座ですか？,おおいぬ座,oinu.png,おおいぬ座全体
この星座はいつの季節に見えますか？,冬,oinu.png,おおいぬ座全体
,,,
---,,,
,,,
この星座は何という星座ですか？,こいぬ座,koinu.png,こいぬ座全体
この星座はいつの季節に見えますか？,冬,koinu.png,こいぬ座全体
,,,
---,,,
,,,
この星座は何という星座ですか？,うしかい座,ushikai.png,うしかい座全体
この星座はいつの季節に見えますか？,春,ushikai.png,うしかい座全体
,,,
---,,,
,,,
この星座は何という星座ですか？,おとめ座,otome.png,おとめ座全体
この星座はいつの季節に見えますか？,春,otome.png,おとめ座全体
,,,
---,,,
,,,
この星座は何という星座ですか？,しし座,shishi.png,しし座全体
この星座はいつの季節に見えますか？,春,shishi.png,しし座全体
,,,
---,,,
,,,
この星座は何という星座ですか？,こと座,koto.png,こと座全体
この星座はいつの季節に見えますか？,夏,koto.png,こと座全体
,,,
---,,,
,,,
この星座は何という星座ですか？,わし座,washi.png,わし座全体
この星座はいつの季節に見えますか？,夏,washi.png,わし座全体
,,,
---,,,
,,,
この星座は何という星座ですか？,はくちょう座,hakucho.png,はくちょう座全体
この星座はいつの季節に見えますか？,夏,hakucho.png,はくちょう座全体
,,,
---,,,
,,,
この星座は何という星座ですか？,さそり座,sasori.png,さそり座全体
この星座はいつの季節に見えますか？,夏,sasori.png,さそり座全体
,,,
---,,,
,,,
夏の南の低い空に見える星座で、S字型をしているのは？,さそり座,,
北斗七星のひしゃくの柄を伸ばした先に見える星は？,アルクトゥルス,,
冬の星座で、三つ星が特徴的な星座は？,オリオン座,,
全天で最も明るい星シリウスがある星座は？,おおいぬ座,,
カシオペヤ座がおおぐま座の反対側に見えるのは、何の目印になりますか？,北極星,,
