問題,解答,イラストファイル名,イラスト内容説明
沖縄の昔の家の特色は何ですか。1つ答えなさい。,強い風に備えた家づくり（例：コンクリートづくり、屋根や屋上への水タンク設置など）,,
「どさんこ」を漢字で書くとどうなりますか？,道産子,,
沖縄で砂糖の原料となる作物は何ですか？また、北海道で砂糖の原料となる作物は何ですか？,沖縄:サトウキビ、北海道:てんさい,,
那覇市の12月と帯広市の7月の月平均気温はほぼ同じですか？,はい,,
沖縄の家づくりは、暑さや台風に備えてどのような工夫がされていますか。具体的に3つ答えなさい。,屋根瓦を漆喰でとめる、窓を小さくする、風通しをよくするために屋根を高くする、風向きを考える、コンクリートでつくる、などが挙げられます。,,
北海道の家づくりは、厳しい寒さに備えてどのような工夫がされていますか。具体的に3つ答えなさい。,玄関の戸を二重にする、窓を二重にする、暖房器具を使う、などが挙げられます。,,
沖縄県の県庁所在地は何市ですか。都市の名を答えなさい。,那覇市,,
沖縄県内にある、日本の西のはしの島は何ですか。,与那国島,,
沖縄県の農業では、昔から米作りがさかんで、畑とくらべて水田の面積の方が広いですか？,いいえ,,
沖縄県では、あたたかい気候をいかして、どのような農作物の栽培が行われていますか。2つ挙げなさい。,マンゴー、パイナップル,,
沖縄県では、あたたかい気候をいかして、野菜などを出荷する際にどのような工夫をしていますか。,ほかの産地と時期をずらして出荷しています。,,
沖縄県では、どのような方法で花を大都市に出荷していますか。,飛行機を利用しています。,,
沖縄県は雨の多い気候ですが、ダムがつくられる前は、しばしば水不足になりました。これはなぜですか。説明しなさい。,山が少なく、降った雨がすぐに海へ流れてしまうから。,,
市の名前をこたえてください,帯広市,日本地図_那覇と帯広_P2.png,日本地図上に那覇市と帯広市の位置が示された図
これは、那覇市と帯広市のどちらのものでしょう？,那覇市,那覇市と帯広市の気候グラフ_P4.png,那覇市と帯広市の月別平均気温と降水量を示すグラフ
梅雨の影響をあまり受けないのは、那覇市と帯広市のどちらの気候の特徴でしょう？,帯広市,,
那覇市と帯広市の月平均気温の差は、冬と夏どちらの方が大きいですか？,冬,,
沖縄県で昔から多く栽培されてきた、砂糖の原料となる作物はなんですか？,サトウキビ,,
現在の沖縄県で、昔と比べて栽培が多くなった作物はなんですか？,野菜や花,,
十勝平野はどのような農業がさかんな地域ですか？,畑作,,
十勝平野で栽培されている主な作物を3つ挙げなさい。,じゃがいも、あずき、てんさい,,
十勝平野でさかんな酪農は何を得るために行われていますか？,牛乳,,
酪農で得られた牛乳は、そのまま飲む以外にどのようなものに利用されていますか？,チーズやバター、ヨーグルトなどの乳製品の原料,,
都道府県などが、地元の特産品や新しい商品を紹介するために開く店を何といいますか？,アンテナショップ,,
,,,
多くの人が集まる東京に、さまざまな都道府県のアンテナショップが開かれているのはなぜですか？,多くの人が集まるため、特産品や観光情報を広く紹介できるから,,
那覇市と帯広市の年間気温変化で、気温の変化が小さいのはどちらですか？,那覇市,,
